Código;Nome;Categoria;Stock;Valor Unit.;Valor Total
;Fato pós-cirurgia cão Tm07 Macho Dry - Azul;Bem-estar Animal;3.00;71,1;71,1
;Bravecto gato (6,25-12.5Kg);Felídeos - Desp.externo - Pipeta;0.00;0;0
;Ownat Dog Classic Duck 12kg;Canídeos - Ração - Seca;1.00;0;0
;Capstar 11,4mg - comprimido;Felídeos - Desp.externo;6.00;19,02;19,02
;Woolf Chicken with Seafood 100gr;Canideos e Felídeos - Ração - Húmida;0.00;0;0
;Propofol - 50ml *f;Injectáveis;5.00;34,5;34,5
;Fato pós-cirurgia cão Tm09 Macho/Fêmea - Rosa;Bem-estar Animal;0.00;0;0
;PEITORAL PUPPIA MISCHIEF CINZA XL;Bem-estar Animal;1.00;16,49;16,49
;Caninsulin - frasquinho;Injectáveis;0.00;0;0
;Fato pós-cirurgia cão Tm03 Macho/Fêmea - Rosa/Verde;Bem-estar Animal;0.00;0;0
;Fato pós-cirurgia cão Tm01 Macho Dry - Azul;Bem-estar Animal;7.00;122,85;122,85
;Dermoscent Atop7 Mousse 150ml;Bem-estar Animal;0.00;0;0
;Schesir NS Kitten Pato 1,4Kg;Felídeos - Ração - Seca;0.00;0;0
;Upcard 0,75mg - blister de 10 comprimidos;Medicamentos;0.00;0;0
;Seringa 2ml - preta *f;Consumíveis;0.00;0;0
;Fato pós-cirurgia cão Tm02 Macho Dry - Azul;Bem-estar Animal;5.00;102,5;102,5
;Applaws Cat Tuna and Anchovy 70g;Felídeos - Ração - Húmida;0.00;0;0
;Dermoscent Pioclean Mousse 150ml;Bem-estar Animal;0.00;0;0
;RC Cat Renal - 400g;Felídeos - Ração - Seca;1.00;5,18;5,18
;Schesir Gato Atum 85g - latinha;Felídeos - Ração - Húmida;2.00;2,4;2,4
;Nexgard combo gatos de 2,5-7,5kg - pipeta;Felídeos - Desp.interno e externo - Pipeta;223.00;1563,23;1563,23
;Schesir Gato Atum/Papaia 75g - Latinha;Felídeos - Ração - Húmida;2.00;2,46;2,46
;AD Cat Gastroenteric Sensitive 2,75kg;Felídeos - Ração - Seca;0.00;0;0
;Fato pós-cirurgia gato Tm02 - Verde - NAO EXISTE;Bem-estar Animal;0.00;0;0
;Cosequin gatos - embalagem;Suplemento;0.00;0;0
;Schesir Gato Atum/Gambas 85g - latinha/saqueta;Felídeos - Ração - Húmida;26.00;32,24;32,24
;Pexion 400mg - embalagem de 100 comprimidos;Medicamentos;0.00;0;0
;Credelio 112mg 2,5-5,5Kg - Comprimido;Canídeos - Desp.externo - Comprimido s/ prev.dirofilariose;8.00;28,88;28,88
;Schesir Cão Frango/Espinafres 285g - Lata;Canídeos - Ração - Húmida;3.00;8,04;8,04
;Neurobion injectável - ampola 3ml *f;Injectáveis;0.00;0;0
;Fato Buster pós-cirurgia cão - 52cm;Bem-estar Animal;0.00;0;0
;AD Dog Maxi Junior Chicken and Rice 14kg;Canídeos - Ração - Seca;0.00;0;0
;SP CXD-M ADULT MEDIUM BREED 4Kg;Canídeos - Ração - Seca;0.00;0;0
